ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR,comp_time
0.0,0.0,0.6,0.05,0.8457389428263214,0.8892331525948877,0.8414239482200647,0.8875286916602907,-1.3639872478209092,-412.2572413968346,0.7297208309173584
0.0,0.0,0.6,0.1,0.6321467098166127,0.774619960343688,0.6418554476806904,0.7818659658344284,-3010745667.889735,-99483684901.7852,0.7363388538360596
0.0,0.0,0.6,0.15,0.6321467098166127,0.774619960343688,0.6418554476806904,0.7818659658344284,-17844101250.788094,-1766448438532.4827,0.46067285537719727
0.0,0.0,0.5375,0.05,0.8565264293419633,0.8953579858379229,0.8446601941747572,0.8894009216589861,-1.1499417666325273,-315.1357494616176,1.7163159847259521
0.0,0.0,0.5375,0.1,0.8295577130528586,0.8795731707317073,0.8392664509169363,0.8868640850417616,-1.2548344255160222,-344.5701877981385,1.745102882385254
0.0,0.0,0.5375,0.15,0.6321467098166127,0.774619960343688,0.6418554476806904,0.7818659658344284,-857600801.5862898,-14865662473.047024,1.538816213607788
0.0,0.0,0.475,0.05,0.9083063646170443,0.9301561216105176,0.8921251348435815,0.9189627228525121,-0.9157223806356024,-234.2576869560618,1.575192928314209
0.0,0.0,0.475,0.1,0.8457389428263214,0.889745566692367,0.8414239482200647,0.8880426504188881,-1.0757803778920207,-255.15157026481384,2.265305995941162
0.0,0.0,0.475,0.15,0.8166127292340885,0.8723723723723723,0.8230852211434736,0.8770614692653674,-1.132343265530816,-270.46357456180374,2.280086040496826
0.0,0.0,0.4125,0.05,0.9277238403451996,0.9433643279797126,0.918015102481122,0.936241610738255,-0.7377693307717162,-170.23790652538023,1.2296109199523926
0.0,0.0,0.4125,0.1,0.8543689320388349,0.8944487881157153,0.8446601941747572,0.8894009216589861,-0.8963767468203665,-179.35425300827418,3.327059030532837
0.0,0.0,0.4125,0.15,0.8241639697950378,0.8769811320754716,0.8274002157497303,0.8795180722891567,-0.9651515553222286,-190.18166351010723,3.57548189163208
0.0,0.0,0.35,0.05,0.9385113268608414,0.9514066496163683,0.9223300970873787,0.9391891891891893,-0.5910390544699228,-119.07993290523774,1.381397008895874
0.0,0.0,0.35,0.1,0.9266450916936354,0.9419795221843004,0.9158576051779935,0.9338983050847458,-0.6122877692715553,-117.99348536987682,1.653886079788208
0.0,0.0,0.35,0.15,0.9223300970873787,0.9382504288164666,0.9093851132686084,0.9285714285714286,-0.6118823848081273,-107.84373199127513,2.198179006576538
0.0,0.0,0.2875,0.05,0.9460625674217907,0.9573378839590444,0.9331175836030206,0.9475465313028764,-0.4757962594694991,-77.83803576627167,1.5201740264892578
0.0,0.0,0.2875,0.1,0.9352750809061489,0.9483648881239243,0.919093851132686,0.9362786745964315,-0.49525934480411016,-75.11615746727992,1.5466370582580566
0.0,0.0,0.2875,0.15,0.9266450916936354,0.9414802065404475,0.9115426105717368,0.9301533219761499,-0.4999838477925182,-64.55925708145689,2.5305371284484863
0.0,0.0,0.22499999999999998,0.05,0.9492988133764833,0.959863364645602,0.9406688241639698,0.9535080304311073,-0.34970622775728705,-46.25012886504327,1.5326170921325684
0.0,0.0,0.22499999999999998,0.1,0.941747572815534,0.9538461538461538,0.9298813376483279,0.9448685326547922,-0.3859470162269547,-41.32098679697525,1.8916549682617188
