ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex
0.0,0,0.8,0.8395061728395061,0.7796610169491526,0.7777777777777778,0.7352941176470588,True
0.0,0,0.7125,0.8148148148148148,0.7272727272727274,0.7407407407407407,0.6666666666666667,True
0.0,0,0.625,0.7901234567901234,0.679245283018868,0.7037037037037037,0.5714285714285713,True
0.0,0,0.5375000000000001,0.7530864197530864,0.6,0.7037037037037037,0.5714285714285713,True
0.0,0,0.45,0.8395061728395061,0.7796610169491526,0.7407407407407407,0.6865671641791046,True
0.0,0,0.3625,0.8148148148148148,0.7619047619047619,0.8024691358024691,0.7777777777777778,True
0.0,0,0.275,0.8148148148148148,0.7368421052631579,0.7654320987654321,0.7164179104477612,True
0.0,0,0.1875,0.8271604938271605,0.7666666666666666,0.7530864197530864,0.7297297297297296,False
0.0,0,0.1,0.8518518518518519,0.8181818181818182,0.8024691358024691,0.8,False
0.0,1,0.8,0.7901234567901234,0.7213114754098361,0.8148148148148148,0.7692307692307693,True
0.0,1,0.7125,0.8024691358024691,0.7419354838709677,0.8271604938271605,0.7878787878787878,True
0.0,1,0.625,0.7654320987654321,0.6666666666666667,0.7407407407407407,0.631578947368421,True
0.0,1,0.5375000000000001,0.7160493827160493,0.5660377358490566,0.691358024691358,0.5283018867924528,True
0.0,1,0.45,0.8271604938271605,0.7812500000000001,0.8518518518518519,0.8181818181818181,True
0.0,1,0.3625,0.8395061728395061,0.8169014084507041,0.8395061728395061,0.8169014084507042,True
0.0,1,0.275,0.8518518518518519,0.8378378378378378,0.8518518518518519,0.8461538461538461,False
0.0,1,0.1875,0.7530864197530864,0.7222222222222223,0.8641975308641975,0.8450704225352113,False
0.0,1,0.1,0.7901234567901234,0.7733333333333334,0.8765432098765432,0.875,False
0.0,2,0.8,0.8765432098765432,0.8214285714285714,0.7654320987654321,0.6666666666666666,True
0.0,2,0.7125,0.8641975308641975,0.7999999999999999,0.7654320987654321,0.6666666666666666,True
0.0,2,0.625,0.8641975308641975,0.8135593220338982,0.7901234567901234,0.711864406779661,True
0.0,2,0.5375000000000001,0.8148148148148148,0.7540983606557377,0.7777777777777778,0.71875,True
0.0,2,0.45,0.8518518518518519,0.8125,0.7777777777777778,0.7428571428571429,True
0.0,2,0.3625,0.8765432098765432,0.84375,0.8024691358024691,0.7647058823529412,True
0.0,2,0.275,0.8518518518518519,0.823529411764706,0.8024691358024691,0.7837837837837838,True
0.0,2,0.1875,0.8641975308641975,0.8307692307692308,0.7654320987654321,0.7246376811594202,False
0.0,2,0.1,0.9012345679012346,0.8666666666666666,0.7530864197530864,0.7142857142857143,False
0.0,3,0.8,0.9135802469135802,0.8627450980392156,0.8024691358024691,0.75,True
0.0,3,0.7125,0.8395061728395061,0.6976744186046512,0.7407407407407407,0.6181818181818182,True
0.0,3,0.625,0.8765432098765432,0.7999999999999999,0.8271604938271605,0.7812500000000001,True
0.0,3,0.5375000000000001,0.8271604938271605,0.7586206896551724,0.8148148148148148,0.8,True
0.0,3,0.45,0.8271604938271605,0.7741935483870968,0.7901234567901234,0.7792207792207791,True
