ratio,trial,C,s,val-acc,val-f,test-acc,test-f
0.0,0.0,625.0,-1.0,0.8024691358024691,0.7837837837837837,0.7901234567901234,0.7848101265822786
0.0,0.0,625.0,0.0,0.8765432098765432,0.84375,0.7654320987654321,0.7532467532467534
0.0,0.0,625.0,0.5,0.8271604938271605,0.787878787878788,0.8024691358024691,0.7948717948717948
0.0,0.0,125.0,-1.0,0.8024691358024691,0.7837837837837837,0.7901234567901234,0.7848101265822786
0.0,0.0,125.0,0.0,0.8765432098765432,0.84375,0.7654320987654321,0.7532467532467534
0.0,0.0,125.0,0.5,0.8271604938271605,0.787878787878788,0.8024691358024691,0.7948717948717948
0.0,0.0,25.0,-1.0,0.8395061728395061,0.8115942028985507,0.8024691358024691,0.8
0.0,0.0,25.0,0.0,0.8765432098765432,0.84375,0.7654320987654321,0.7532467532467534
0.0,0.0,25.0,0.5,0.8271604938271605,0.787878787878788,0.8024691358024691,0.7948717948717948
0.0,0.0,5.0,-1.0,0.8271604938271605,0.7999999999999999,0.8024691358024691,0.8
0.0,0.0,5.0,0.0,0.8765432098765432,0.84375,0.7654320987654321,0.7532467532467534
0.0,0.0,5.0,0.5,0.8271604938271605,0.787878787878788,0.8024691358024691,0.7948717948717948
0.0,0.0,1.0,-1.0,0.8395061728395061,0.8115942028985507,0.7654320987654321,0.7594936708860761
0.0,0.0,1.0,0.0,0.8765432098765432,0.84375,0.7777777777777778,0.7631578947368421
0.0,0.0,1.0,0.5,0.8271604938271605,0.787878787878788,0.7901234567901234,0.7733333333333334
0.0,0.0,0.2,-1.0,0.8395061728395061,0.7999999999999999,0.7777777777777778,0.7631578947368421
0.0,0.0,0.2,0.0,0.8641975308641975,0.8307692307692308,0.8148148148148148,0.7945205479452054
0.0,0.0,0.2,0.5,0.8518518518518519,0.8181818181818182,0.8148148148148148,0.7945205479452054
0.0,0.0,0.04,-1.0,0.8518518518518519,0.8181818181818182,0.8148148148148148,0.7945205479452054
0.0,0.0,0.04,0.0,0.8641975308641975,0.8358208955223881,0.8024691358024691,0.7777777777777778
0.0,0.0,0.04,0.5,0.8518518518518519,0.806451612903226,0.8024691358024691,0.7777777777777778
0.0,0.0,0.008,-1.0,0.8641975308641975,0.8253968253968255,0.7654320987654321,0.7246376811594204
0.0,0.0,0.008,0.0,0.8148148148148148,0.7272727272727274,0.7654320987654321,0.7076923076923076
0.0,0.0,0.008,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0016,-1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,1.0,625.0,-1.0,0.8271604938271605,0.8055555555555555,0.8271604938271605,0.8157894736842105
0.0,1.0,625.0,0.0,0.8271604938271605,0.8000000000000002,0.9135802469135802,0.9066666666666667
0.0,1.0,625.0,0.5,0.8518518518518519,0.8333333333333334,0.8518518518518519,0.8421052631578947
0.0,1.0,125.0,-1.0,0.8271604938271605,0.8055555555555555,0.8271604938271605,0.8157894736842105
0.0,1.0,125.0,0.0,0.8271604938271605,0.8000000000000002,0.9135802469135802,0.9066666666666667
0.0,1.0,125.0,0.5,0.8518518518518519,0.8333333333333334,0.8518518518518519,0.8421052631578947
0.0,1.0,25.0,-1.0,0.8271604938271605,0.8055555555555555,0.8271604938271605,0.8157894736842105
0.0,1.0,25.0,0.0,0.8271604938271605,0.8000000000000002,0.9135802469135802,0.9066666666666667
0.0,1.0,25.0,0.5,0.8518518518518519,0.8333333333333334,0.8518518518518519,0.8421052631578947
0.0,1.0,5.0,-1.0,0.7901234567901234,0.7605633802816901,0.8395061728395061,0.8266666666666667
0.0,1.0,5.0,0.0,0.8271604938271605,0.8000000000000002,0.9135802469135802,0.9066666666666667
0.0,1.0,5.0,0.5,0.8518518518518519,0.8333333333333334,0.8518518518518519,0.8421052631578947
0.0,1.0,1.0,-1.0,0.8395061728395061,0.8219178082191781,0.8395061728395061,0.8311688311688312
0.0,1.0,1.0,0.0,0.8518518518518519,0.8285714285714285,0.8888888888888888,0.8695652173913044
0.0,1.0,1.0,0.5,0.8518518518518519,0.8333333333333334,0.8518518518518519,0.8421052631578947
0.0,1.0,0.2,-1.0,0.8641975308641975,0.8450704225352113,0.8765432098765432,0.868421052631579
0.0,1.0,0.2,0.0,0.8395061728395061,0.8169014084507041,0.8765432098765432,0.8611111111111112
0.0,1.0,0.2,0.5,0.8641975308641975,0.8493150684931507,0.8518518518518519,0.8421052631578947
0.0,1.0,0.04,-1.0,0.8518518518518519,0.8333333333333334,0.8765432098765432,0.8648648648648648
0.0,1.0,0.04,0.0,0.8518518518518519,0.8333333333333334,0.8765432098765432,0.8611111111111112
0.0,1.0,0.04,0.5,0.8395061728395061,0.8059701492537312,0.8888888888888888,0.8732394366197183
0.0,1.0,0.008,-1.0,0.8271604938271605,0.787878787878788,0.8395061728395061,0.8115942028985509
0.0,1.0,0.008,0.0,0.7901234567901234,0.7213114754098361,0.8024691358024691,0.7500000000000001
0.0,1.0,0.008,0.5,0.7407407407407407,0.631578947368421,0.7654320987654321,0.6779661016949152
0.0,1.0,0.0016,-1.0,0.5432098765432098,0.0,0.5185185185185185,0.0
0.0,1.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,2.0,625.0,-1.0,0.8271604938271605,0.8,0.7283950617283951,0.7179487179487181
0.0,2.0,625.0,0.0,0.8641975308641975,0.8253968253968254,0.7530864197530864,0.7142857142857143
0.0,2.0,625.0,0.5,0.8518518518518519,0.8181818181818182,0.7777777777777778,0.7567567567567569
