ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR
0.0,0.0,0.75,0.05,0.6213592233009708,0.5714285714285714,0.6442307692307693,0.5316455696202532,-0.6898418172097142,-7.081424662254387
0.0,0.0,0.75,0.1,0.5922330097087378,0.5,0.6153846153846154,0.47368421052631576,-0.914133436221893,-12.830248624835143
0.0,0.0,0.75,0.15,0.6019417475728155,0.5287356321839081,0.5961538461538461,0.46153846153846156,-0.9069379148158152,-17.51346577273339
0.0,0.0,0.66875,0.05,0.6601941747572816,0.5569620253164557,0.7403846153846154,0.6582278481012659,-0.355259887469795,-3.9544673311243868
0.0,0.0,0.66875,0.1,0.6893203883495146,0.5555555555555556,0.7019230769230769,0.523076923076923,-0.45030186959009233,-7.192043468274366
0.0,0.0,0.66875,0.15,0.6699029126213593,0.48484848484848486,0.6538461538461539,0.39999999999999997,-0.5819993741496744,-11.156212640313889
0.0,0.0,0.5875,0.05,0.6990291262135923,0.6265060240963854,0.7115384615384616,0.625,-0.2557231833784512,-0.565685360943439
0.0,0.0,0.5875,0.1,0.6601941747572816,0.6067415730337078,0.6923076923076923,0.6279069767441862,-0.23902235015589246,-3.3117679030733216
0.0,0.0,0.5875,0.15,0.6407766990291263,0.5934065934065934,0.6730769230769231,0.6304347826086956,-0.23793366597163892,-4.964369974334781
0.0,0.0,0.50625,0.05,0.0,0.6419753086419753,0.0,0.65,-8.242927165145965e-12,7.919531124261093e-11
0.0,0.0,0.50625,0.1,0.6990291262135923,0.6352941176470588,0.6923076923076923,0.6190476190476191,-0.1599813008433291,-0.9548528653625439
0.0,0.0,0.50625,0.15,0.6504854368932039,0.6,0.6826923076923077,0.6373626373626374,-0.19356895934312549,-2.5264425575834095
0.0,0.0,0.425,0.05,0.038834951456310676,0.6341463414634145,0.038461538461538464,0.6329113924050633,-8.25350373617069e-11,2.168834067435953e-09
0.0,0.0,0.425,0.1,0.5922330097087378,0.6067415730337078,0.5961538461538461,0.6436781609195402,-1.4669948216431007e-09,9.188626536201297e-09
0.0,0.0,0.425,0.15,0.7184466019417476,0.6506024096385542,0.7211538461538461,0.6419753086419754,-0.11237964743563078,-1.1042116112618354
0.0,0.0,0.34375,0.05,0.10679611650485436,0.6341463414634145,0.07692307692307693,0.641025641025641,-2.1284046431368614e-11,5.14090255283281e-09
0.0,0.0,0.34375,0.1,0.17475728155339806,0.6506024096385542,0.1346153846153846,0.6419753086419754,-1.155572465245138e-10,3.197566561000132e-09
