ratio,trial,C,s,val-acc,val-f,test-acc,test-f
0.0,0.0,625.0,-1.0,0.6990291262135923,0.6352941176470588,0.7115384615384616,0.6341463414634148
0.0,0.0,625.0,0.0,0.6796116504854369,0.6024096385542168,0.7019230769230769,0.5753424657534246
0.0,0.0,625.0,0.5,0.6601941747572816,0.5783132530120482,0.6730769230769231,0.5526315789473685
0.0,0.0,125.0,-1.0,0.6893203883495146,0.6190476190476191,0.7115384615384616,0.6428571428571429
0.0,0.0,125.0,0.0,0.6699029126213593,0.5952380952380952,0.7115384615384616,0.5945945945945945
0.0,0.0,125.0,0.5,0.6601941747572816,0.5783132530120482,0.6730769230769231,0.5526315789473685
0.0,0.0,25.0,-1.0,0.6796116504854369,0.611764705882353,0.7115384615384616,0.6428571428571429
0.0,0.0,25.0,0.0,0.6796116504854369,0.611764705882353,0.6923076923076923,0.5789473684210527
0.0,0.0,25.0,0.5,0.6601941747572816,0.5783132530120482,0.6730769230769231,0.5526315789473685
0.0,0.0,5.0,-1.0,0.6699029126213593,0.6046511627906976,0.7115384615384616,0.6428571428571429
0.0,0.0,5.0,0.0,0.6796116504854369,0.611764705882353,0.6826923076923077,0.5714285714285715
0.0,0.0,5.0,0.5,0.6893203883495146,0.6,0.6923076923076923,0.5675675675675677
0.0,0.0,1.0,-1.0,0.6116504854368932,0.5454545454545454,0.6923076923076923,0.6190476190476191
0.0,0.0,1.0,0.0,0.6796116504854369,0.5599999999999999,0.6730769230769231,0.5
0.0,0.0,1.0,0.5,0.6796116504854369,0.5352112676056338,0.6442307692307693,0.41269841269841273
0.0,0.0,0.2,-1.0,0.6601941747572816,0.5205479452054794,0.6634615384615384,0.4927536231884058
0.0,0.0,0.2,0.0,0.6504854368932039,0.3571428571428571,0.6057692307692307,0.2545454545454546
0.0,0.0,0.2,0.5,0.6213592233009708,0.45070422535211263,0.6153846153846154,0.3548387096774194
0.0,0.0,0.04,-1.0,0.5825242718446602,0.0,0.5769230769230769,0.0
0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.04,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.008,-1.0,0.5825242718446602,0.0,0.5769230769230769,0.0
0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.008,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0016,-1.0,0.5825242718446602,0.0,0.5769230769230769,0.0
0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,1.0,625.0,-1.0,0.6310679611650486,0.5476190476190476,0.6634615384615384,0.5977011494252873
0.0,1.0,625.0,0.0,0.6310679611650486,0.5476190476190476,0.6730769230769231,0.6046511627906976
0.0,1.0,625.0,0.5,0.6116504854368932,0.5454545454545454,0.6057692307692307,0.5393258426966292
0.0,1.0,125.0,-1.0,0.6310679611650486,0.5476190476190476,0.6730769230769231,0.6136363636363636
0.0,1.0,125.0,0.0,0.6213592233009708,0.5411764705882354,0.6346153846153846,0.5777777777777778
